,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month Full
239,MCG,1.1,5.0,3.59,3.06,5.37,4.39,0.76,"278,672.73","130,650.19",-28.2,-26.0
240,VDS,1.1,22.3,16.0,15.0,22.75,19.6,2.72,"206,422.73","90,251.74",-28.25,-26.05
241,VCG,1.1,26.9,19.3,17.65,27.4,23.65,3.31,"3,393,200.00","1,056,498.37",-28.25,-26.05
242,VPG,1.1,42.09,30.15,27.5,43.8,38.01,6.05,"871,900.00","545,792.27",-28.37,-26.16
243,TVB,1.1,9.78,7.0,6.1,10.2,8.5,1.47,"465,740.91","194,500.60",-28.43,-26.22
244,NKG,1.1,24.21,17.3,15.65,24.98,21.1,3.11,"7,632,950.00","2,637,991.32",-28.55,-26.33
245,TLH,1.1,12.25,8.7,7.98,12.85,10.79,1.6,"641,063.64","204,883.92",-28.98,-26.74
246,VND,1.1,24.35,17.2,15.75,25.45,21.63,3.65,"15,293,977.27","9,082,241.29",-29.36,-27.1
247,VC7,1.1,13.6,9.6,8.4,14.6,11.99,1.96,"245,100.41","115,365.71",-29.41,-27.14
248,FID,1.1,4.4,3.1,2.7,4.5,3.75,0.6,"183,660.91","106,127.54",-29.55,-27.27
249,BOT,1.1,8.4,5.9,5.2,8.9,7.07,1.17,"330,537.91","176,178.22",-29.76,-27.47
250,VIX,1.1,13.0,9.12,8.09,13.1,11.19,1.82,"7,194,613.64","1,816,426.78",-29.85,-27.55
251,SSI,1.1,26.61,18.6,16.53,27.01,23.16,3.87,"17,203,459.09","4,692,221.71",-30.09,-27.78
252,S99,1.1,13.2,9.2,8.3,13.8,11.66,1.79,"153,152.27","92,986.75",-30.3,-27.98
253,LCM,1.1,3.91,2.71,2.38,4.1,3.3,0.57,"104,459.09","42,767.86",-30.69,-28.34
254,PLP,1.1,10.6,7.34,6.7,10.7,9.11,1.38,"369,700.00","138,588.94",-30.75,-28.4
255,MBS,1.1,24.0,16.6,14.6,24.0,20.54,3.23,"823,089.00","426,878.24",-30.83,-28.48
256,LCG,1.1,15.3,10.5,9.17,15.5,12.86,2.34,"3,721,890.91","1,604,733.18",-31.37,-28.98
257,TDG,1.1,7.6,5.2,4.98,7.76,6.62,0.99,"319,650.00","93,543.32",-31.58,-29.18
258,DAG,1.1,7.75,5.3,4.82,8.07,6.64,1.1,"482,704.55","151,472.85",-31.61,-29.21
259,SCR,1.1,13.25,9.05,8.23,13.7,11.22,1.89,"4,162,200.00","1,215,315.40",-31.7,-29.29
260,HAR,1.1,7.04,4.8,4.35,7.59,6.05,1.06,"653,531.82","296,199.59",-31.82,-29.4
261,TTH,1.1,4.7,3.2,2.7,4.7,3.9,0.64,"374,332.18","175,426.52",-31.91,-29.49
262,DL1,1.1,7.2,4.9,4.3,7.4,6.25,1.09,"587,375.23","196,324.48",-31.94,-29.52
263,C4G,1.1,14.7,10.0,9.0,15.0,12.89,2.07,"2,824,535.55","1,000,651.31",-31.97,-29.55
264,MHC,1.1,8.15,5.5,5.13,8.7,7.06,1.15,"156,386.36","99,507.25",-32.52,-30.06
265,IPA,1.1,27.15,18.3,16.7,27.48,23.58,3.88,"392,298.82","145,617.79",-32.59,-30.13
266,G36,1.1,12.2,8.2,7.1,13.0,10.79,1.89,"529,022.95","193,833.77",-32.79,-30.31
267,ADS,1.1,28.9,19.4,17.75,29.95,25.71,4.26,"429,759.09","298,584.73",-32.87,-30.4
268,AAT,1.1,14.17,9.5,8.94,14.61,12.12,1.9,"434,286.36","251,456.60",-32.98,-30.49
269,JVC,1.1,6.55,4.36,4.2,7.22,5.84,1.03,"1,136,200.00","417,896.53",-33.44,-30.93
270,CTS,1.1,22.3,14.8,13.55,22.3,18.65,3.27,"546,145.45","126,663.94",-33.63,-31.11
271,DLG,1.1,5.51,3.65,3.32,5.79,4.61,0.81,"2,912,236.36","1,101,916.53",-33.76,-31.23
272,BCG,1.1,21.4,14.15,13.3,21.4,18.12,2.89,"5,596,640.91","1,776,401.71",-33.88,-31.34
273,KHG,1.1,10.75,7.08,6.15,10.8,8.86,1.6,"1,388,772.73","497,132.68",-34.14,-31.59
274,TCD,1.1,15.1,9.9,8.88,15.65,12.76,2.42,"621,936.36","217,467.28",-34.44,-31.87
275,VHG,1.1,5.2,3.4,2.9,5.7,4.54,0.88,"2,998,986.55","1,295,752.55",-34.62,-32.04
276,DC4,1.1,13.19,8.62,8.25,13.57,11.57,2.04,"140,586.36","47,308.85",-34.65,-32.08
277,PFL,1.1,6.6,4.3,3.7,7.0,5.55,1.07,"249,134.05","103,639.46",-34.85,-32.26
278,CRE,1.1,31.8,20.65,19.3,32.45,27.13,4.65,"412,413.64","187,410.39",-35.06,-32.46
279,LIG,1.1,8.48,5.5,4.8,8.48,7.09,1.3,"632,528.73","306,176.49",-35.15,-32.54
280,APG,1.1,9.73,6.3,5.88,9.8,8.15,1.42,"1,758,095.45","725,875.30",-35.25,-32.64
281,TNT,1.1,11.15,7.2,6.48,12.15,9.74,2.02,"273,063.64","278,605.82",-35.43,-32.81
282,AAV,1.1,12.6,8.1,6.2,12.7,9.81,2.13,"232,674.09","92,963.73",-35.71,-33.08
283,NHA,1.1,31.4,20.0,18.55,33.1,26.14,4.67,"187,468.18","74,852.64",-36.31,-33.64
284,VLC,1.1,29.6,18.8,16.5,30.6,23.26,4.44,"218,955.73","164,364.64",-36.49,-33.81
285,FIT,1.1,9.82,6.2,5.64,9.85,7.93,1.51,"2,086,731.82","798,131.52",-36.86,-34.17
286,CKG,1.1,20.8,13.05,11.55,21.2,17.07,3.31,"1,227,327.27","479,857.34",-37.26,-34.54
287,IDJ,1.1,21.0,13.1,11.6,21.1,17.2,3.16,"1,859,398.00","605,230.68",-37.62,-34.88
288,APS,1.1,21.3,13.2,11.8,21.3,17.15,3.36,"1,312,837.14","355,710.58",-38.03,-35.27
289,TDH,1.1,8.1,5.0,5.0,8.1,6.63,0.99,"279,759.09","245,315.29",-38.27,-35.5
290,CEO,1.1,43.3,26.7,23.1,44.2,35.83,7.14,"4,742,821.45","1,206,684.83",-38.34,-35.57
291,CIG,1.1,9.05,5.45,4.77,9.45,7.25,1.59,"145,972.73","96,236.15",-39.78,-36.94
292,TSC,1.1,10.15,6.1,5.66,10.6,8.45,1.77,"2,102,436.36","1,233,805.80",-39.9,-37.05
293,LDG,1.1,13.6,8.1,7.18,14.2,10.93,2.33,"3,860,009.09","892,457.17",-40.44,-37.57
294,DIG,1.1,59.0,35.05,31.5,61.4,48.23,10.38,"7,987,736.36","2,547,371.77",-40.59,-37.71
295,MST,1.1,15.4,9.0,8.1,15.4,12.7,2.63,"482,921.45","551,680.61",-41.56,-38.63
296,BNA,1.1,34.8,19.9,17.5,35.2,29.36,6.55,"360,346.05","358,855.54",-42.82,-39.84
297,DRH,1.1,14.55,8.26,7.85,14.75,11.07,2.49,"1,704,936.36","861,270.32",-43.23,-40.23
298,SDA,1.1,22.2,12.5,10.6,23.9,18.05,4.61,"206,397.64","78,930.23",-43.69,-40.68
299,SJF,1.1,10.85,6.1,5.5,11.15,8.6,2.04,"1,053,236.36","688,460.66",-43.78,-40.76
300,PAS,1.1,16.5,9.0,7.8,17.3,13.41,3.37,"1,104,254.18","553,967.44",-45.45,-42.36
